,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
0,0.826,0.657,-7.779,0.147,0.204,1.37e-05,0.0668,0.86,118.049,168858,3,0Em4eY10PGyiBlmjWxcav3
1,0.845,0.7,-8.737,0.0391,0.1,0.00113,0.0984,0.85,119.997,166559,3,5V9XFfvCG4WP5ZdISOLvaF
2,0.578,0.631,-7.619,0.228,0.314,0.0,0.107,0.794,108.783,169043,1,1tOp1bXhT9tvydSAGDHdQy
3,0.838,0.569,-8.414,0.0529,0.194,0.0377,0.0802,0.63,113.046,190542,3,6wuMo4ZR83PhlhXhJ1S3VY
4,0.843,0.725,-7.282,0.0539,0.165,0.00357,0.0948,0.556,120.0,150000,3,5F4OfeowSReF93KcH2eUcG
5,0.819,0.817,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,148000,3,5UwxpuGHkwiojKDaPC5ZNu
6,0.92,0.716,-7.104,0.105,0.296,0.00222,0.104,0.961,115.991,183103,3,4eZZofkV1OQ9GDqAgHqNpA
7,0.806,0.915,-3.102,0.0296,0.17,0.0,0.281,0.967,110.025,196472,3,4QrZSUg5xCZpFKDIhJMU2Q
8,0.856,0.85,-5.59,0.0549,0.00389,0.002,0.115,0.515,118.969,149244,3,2eknBYpfzA4Mp5zWHMGac5
9,0.735,0.592,-11.208,0.0534,0.0661,0.522,0.125,0.603,104.065,159426,3,3rmqNsOiGqqvFNTmGlzl4R
10,0.719,0.756,-5.392,0.0761,0.0541,0.0,0.109,0.647,105.024,219500,3,25Kyv5SeEenT0EETpP2hYn
11,0.481,0.66,-10.189,0.0761,0.35,0.0,0.108,0.504,111.832,159100,3,0GfCR4T6WOErZOw1557ln7
12,0.867,0.692,-8.973,0.143,0.333,0.000124,0.048,0.863,117.968,138305,3,6upXA8xqJ5heoVw4nd5Zvs
13,0.788,0.649,-9.674,0.0532,0.253,0.0136,0.12,0.229,113.009,169912,3,2kaH2Z8ezDUKf6fNw250rZ
14,0.788,0.913,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,196800,3,4MzOppXoeKvDsVaNMeOK3C
15,0.47,0.661,-6.667,0.129,0.0844,9.88e-05,0.124,0.674,153.304,151304,3,1QVJ9U10mJncHAyHVXkFNZ
16,0.823,0.717,-3.879,0.0704,0.0356,0.0,0.102,0.489,110.998,132913,3,6McBvfxgkVfREmQPwTKBUn
17,0.755,0.685,-3.724,0.0631,0.065,0.00186,0.107,0.799,76.683,211875,3,3aGroTtXwkWJ7wOwKEI8Px
18,0.853,0.702,-5.822,0.112,0.627,6.26e-06,0.0947,0.895,116.994,136465,3,7qxtOyjZ2zSaxBPH8fLyNi
19,0.781,0.569,-6.897,0.0918,0.294,0.0241,0.113,0.595,95.049,197000,3,3kqE7QmylUIJV3QXC6arrR
20,0.812,0.775,-6.879,0.0389,0.0272,0.00191,0.121,0.582,104.983,176988,3,4Mlgf7GD6bbx09N4uxqU3S
21,0.778,0.644,-5.542,0.323,0.0625,0.000115,0.117,0.47,142.724,153523,1,14nSbMQqRo1BxshIjprVDO
22,0.914,0.721,-6.966,0.0413,0.0642,0.0352,0.0794,0.481,114.053,182073,3,7zhLSGUbneW7Tm3wpp3HjY
23,0.828,0.628,-9.229,0.0444,0.00405,0.00506,0.0655,0.796,115.008,177391,3,1M5dFODSjNXQvi374tJt64
24,0.818,0.513,-11.382,0.0574,0.106,0.00105,0.0408,0.583,115.01,186000,3,7tZMF9Hn5uGsfC7zGXbSKM
25,0.931,0.676,-7.492,0.0498,0.0152,0.0,0.103,0.739,111.948,165000,3,6NKuW3yaNXtloGw1RB8WUi
26,0.808,0.769,-7.207,0.0833,0.101,4.12e-05,0.119,0.685,116.001,153103,3,1mJFFeluclL38IwV264lm9
27,0.872,0.555,-6.677,0.122,0.433,3.53e-06,0.125,0.544,113.998,187632,3,5o3dCqgRTiSt6MC3Gi0jzj
28,0.582,0.563,-11.242,0.313,0.583,4.35e-06,0.321,0.718,120.213,148062,1,1j9I9JrUTXNblSWazCq9CU
29,0.51,0.922,-4.051,0.149,0.219,3.51e-05,0.147,0.863,102.148,247448,3,6tgW4WT1IUnKKbUATVcZfm
30,0.599,0.785,-5.943,0.501,0.405,0.0,0.213,0.65,189.255,164240,1,0lTUcfkmtQPp6mhjC6EBPq
31,0.917,0.716,-6.881,0.0919,0.213,0.0,0.0997,0.719,114.014,178947,3,64j2xnJweYeCQvycBGBmLR
32,0.821,0.611,-8.967,0.0535,0.0131,0.00393,0.0395,0.431,113.006,327080,3,16vqEDaCZpq5zdgop8U9uM
33,0.94,0.779,-4.854,0.0376,0.101,0.0,0.0792,0.581,111.978,195762,3,1RnRPPu3XPtftOhs1qF1hY
34,0.819,0.659,-9.024,0.0973,0.0534,0.0,0.0435,0.441,116.054,186002,3,2SaRkvUkzNzL39fBB2hLpt
35,0.774,0.825,-5.855,0.0408,0.0164,6.77e-05,0.271,0.668,120.989,186446,3,47FuxUowVBxua1XxsbLKKX
36,0.84,0.687,-7.203,0.1,0.115,2.2e-06,0.115,0.678,113.038,238912,3,62N0RkCCs4XQXk7hgnpOXo
37,0.634,0.833,-5.1,0.25,0.297,0.0,0.367,0.714,96.881,166802,1,2KEMHoK7Tz7rlTUalQXMUk
38,0.829,0.657,-6.802,0.0648,0.235,5.27e-05,0.0937,0.811,116.984,155897,3,4vI2KCvXTAPR3vfiWg1J78
39,0.859,0.822,-5.005,0.0467,0.07,0.0144,0.101,0.908,110.045,177170,3,2pUlBBWq8R10ylbBvZJV9j
40,0.719,0.584,-5.589,0.251,0.372,0.0,0.139,0.519,93.979,173617,1,6vy5gmpM2yuLAhDRtGOtPw
41,0.667,0.498,-9.718,0.0725,0.579,1.12e-05,0.237,0.409,109.93,222507,3,6G45nT1iMlP1HdJ0MCTuDU
42,0.829,0.703,-5.683,0.0444,0.217,0.00123,0.118,0.6,115.961,170000,3,1OGZU2zmK6x0UnM3yeZ4lR
43,0.848,0.697,-7.175,0.0636,0.114,0.0146,0.0525,0.889,115.05,162783,3,3nTzEDC9sTD0YsC9C7osnN
44,0.798,0.667,-8.7,0.124,0.104,0.000935,0.0871,0.501,109.059,149775,3,56iVI65i40FrCO5p382IrK
45,0.861,0.588,-8.861,0.243,0.00913,0.0,0.0591,0.705,111.995,210000,1,5FtWjKVBTMklN2yCP9UhF6
46,0.809,0.837,-6.362,0.0676,0.106,0.00405,0.11,0.401,100.034,163200,3,1sDAPYzFftbXW5fhMl0oKI
47,0.91,0.74,-6.712,0.0399,0.0866,0.0104,0.0753,0.557,114.027,172562,3,7CDmOoIXrtknQN5zcpHRBr
48,0.87,0.45,-12.221,0.0434,0.00491,0.414,0.0514,0.508,112.987,116427,3,3Ry6M5to0EblssBg3pfJt8
49,0.842,0.728,-6.289,0.148,0.485,1.7e-06,0.101,0.707,105.993,176604,3,1GYffAby5VxcjjIp7j0ea7
50,0.57,0.225,-17.168,0.029,0.306,0.0586,0.0689,0.408,151.78,429973,4,3c6wivu78aLN7ZXp8UbpaI
51,0.569,0.314,-8.241,0.0579,0.845,2.03e-05,0.12,0.311,179.332,249560,4,2JlQOgJZdvQ5YJrVxY13wQ
52,0.39,0.582,-9.822,0.0427,0.466,0.356,0.292,0.561,79.633,301242,0,36huM0UOR9A17TYAape2Xg
53,0.42,0.396,-8.807,0.0314,0.674,0.00495,0.103,0.406,70.898,210773,3,3aPOQ6TdIuAW8m1KZid1Hv
54,0.54,0.254,-14.993,0.0948,0.895,0.956,0.109,0.713,86.958,151827,2,2PdCpqwqkFbGB0dJXFMsvu
55,0.536,0.427,-13.12,0.0574,0.714,0.028,0.109,0.409,196.034,287999,4,1QnWVnnt2AOT7psq22mO5I
56,0.702,0.269,-15.172,0.0365,0.626,0.0406,0.125,0.397,99.747,386973,2,05CF4ATpqROLTQVYABNZ3W
57,0.729,0.441,-13.088,0.0374,0.586,0.24,0.093,0.293,124.957,240560,3,1YQmUOQUxVeHebdKBX6m71
58,0.81,0.465,-13.289,0.054,0.282,0.00216,0.0899,0.253,95.133,186347,3,2LQwuRI1h4Q4qk4HzK9zE2
59,0.361,0.31,-12.102,0.0398,0.802,0.687,0.128,0.408,177.659,355840,4,56K7H3Ipsce0Csn2v4u8kZ
60,0.721,0.435,-9.476,0.0438,0.872,0.000104,0.108,0.944,116.865,124055,3,795HmjjJWGQUMfL3foScIr
61,0.481,0.299,-11.755,0.0378,0.806,0.371,0.173,0.463,102.779,106680,2,6F28CLAzz6JwhfkBjyEgKx
62,0.56,0.501,-5.442,0.0314,0.725,0.000136,0.107,0.22,90.301,266123,3,4anx9dy5q5vU1B0kwNRmrR
