,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.826,0.657,-7.779,0.147,0.204,1.37e-05,0.0668,0.86,118.049,0Em4eY10PGyiBlmjWxcav3,168858
1,0.845,0.7,-8.737,0.0391,0.1,0.00113,0.0984,0.85,119.997,5V9XFfvCG4WP5ZdISOLvaF,166559
2,0.578,0.631,-7.619,0.228,0.314,0.0,0.107,0.794,108.783,1tOp1bXhT9tvydSAGDHdQy,169043
3,0.838,0.569,-8.414,0.0529,0.194,0.0377,0.0802,0.63,113.046,6wuMo4ZR83PhlhXhJ1S3VY,190542
4,0.843,0.725,-7.282,0.0539,0.165,0.00357,0.0948,0.556,120.0,5F4OfeowSReF93KcH2eUcG,150000
5,0.819,0.817,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,5UwxpuGHkwiojKDaPC5ZNu,148000
6,0.92,0.716,-7.104,0.105,0.296,0.00222,0.104,0.961,115.991,4eZZofkV1OQ9GDqAgHqNpA,183103
7,0.806,0.915,-3.102,0.0296,0.17,0.0,0.281,0.967,110.025,4QrZSUg5xCZpFKDIhJMU2Q,196472
8,0.856,0.85,-5.59,0.0549,0.00389,0.002,0.115,0.515,118.969,2eknBYpfzA4Mp5zWHMGac5,149244
9,0.735,0.592,-11.208,0.0534,0.0661,0.522,0.125,0.603,104.065,3rmqNsOiGqqvFNTmGlzl4R,159426
10,0.719,0.756,-5.392,0.0761,0.0541,0.0,0.109,0.647,105.024,25Kyv5SeEenT0EETpP2hYn,219500
11,0.481,0.66,-10.189,0.0761,0.35,0.0,0.108,0.504,111.832,0GfCR4T6WOErZOw1557ln7,159100
12,0.867,0.692,-8.973,0.143,0.333,0.000124,0.048,0.863,117.968,6upXA8xqJ5heoVw4nd5Zvs,138305
13,0.788,0.649,-9.674,0.0532,0.253,0.0136,0.12,0.229,113.009,2kaH2Z8ezDUKf6fNw250rZ,169912
14,0.788,0.913,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,4MzOppXoeKvDsVaNMeOK3C,196800
