,Unnamed: 0,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0,0.583,0.0238,-32.244,0.0369,0.994,0.847,0.103,0.426,108.74,5RqKo9P4DLA0bVyY70cWkr,131923
1,1,0.296,0.00896,-31.948,0.0394,0.994,0.91,0.0815,0.0673,69.44,43bSKCMWHIuBsUVmQcDX1J,257000
2,2,0.103,0.00526,-29.845,0.0468,0.989,0.839,0.0997,0.0433,82.597,6a3LTwG4gwiC62EUNff5AD,118853
3,3,0.458,0.0259,-27.928,0.0502,0.964,0.828,0.108,0.204,123.716,0scC8HqVaRe04wA0EeAZLp,295547
4,4,0.233,0.00786,-31.624,0.0528,0.958,0.905,0.106,0.0686,132.011,171fKTIvL8wDal3N6Uv0Bk,262000
5,5,0.175,0.0283,-26.8,0.0405,0.986,0.873,0.0721,0.0328,67.495,7dZyWWwjruK9YiJiN9mbMC,281667
6,6,0.114,0.0701,-23.417,0.0445,0.87,0.431,0.0916,0.0371,89.33,7pgJTa3eZM4kkT2vsZUmFt,331933
7,7,0.235,0.0561,-23.311,0.0442,0.95,0.29,0.119,0.0518,107.619,6aANvQTjMgtOlCAaHlYcyn,271560
8,8,0.205,0.0525,-23.841,0.0327,0.98,0.906,0.103,0.0511,88.316,419qlOGNXoyICx4jO0hqaj,174653
9,9,0.357,0.136,-21.212,0.0618,0.921,0.00342,0.264,0.409,88.931,7staad9eqX2BbnJBQ8m9tc,194946
10,10,0.0891,0.0894,-25.653,0.042,0.936,0.748,0.416,0.0728,80.828,6t7lMFHSifu9j8NPMNCv9T,284000
11,11,0.332,0.0525,-24.1,0.0388,0.991,0.891,0.0683,0.097,78.853,2k2MprlqkmDMKKOOWGREzW,158600
12,12,0.476,0.000707,-36.606,0.164,0.864,0.299,0.104,0.27,68.311,2Lio4KTzsA8BPLhXmyo4CQ,647973
13,13,0.219,0.0153,-33.563,0.0346,0.994,0.923,0.0934,0.1,57.439,7BpDcPsVqfMgHdVglLK3Kt,312757
14,14,0.487,0.00409,-38.66,0.0612,0.985,0.894,0.0965,0.16,115.369,3iWo5Y9DpJNdFI3lERYgEy,242811
15,15,0.371,0.131,-23.899,0.0422,0.898,0.925,0.0847,0.0656,106.872,4PRnYCH5hoxypKVcOBvx3a,442693
16,16,0.263,0.388,-11.125,0.04,0.266,0.0874,0.0933,0.152,137.852,6xdhAIbohZbctt3rstAsnH,231732
17,17,0.072,0.0538,-25.076,0.0462,0.974,0.822,0.101,0.0618,68.007,1xKqK9hrIRN0rnHbRfmbv5,189000
18,18,0.258,0.0238,-28.865,0.0428,0.994,0.904,0.106,0.0757,140.596,4XPq8MBYuWi4Z5PzmebwYo,182647
19,19,0.577,0.0227,-23.993,0.0419,0.992,0.895,0.0857,0.179,112.226,50mxnK4endZNXF00cyoKh2,146827
20,20,0.404,0.0409,-32.98,0.0433,0.989,0.908,0.0889,0.264,142.235,3hWbgzfP4jE9rd6Tathuig,259375
21,21,0.398,0.0252,-26.613,0.0624,0.992,0.914,0.108,0.117,74.696,7yNdc5jF4CAe2TzFadHPKK,291319
